일련번호,검색량년월,출처ID,대표키워드명,검색어명,검색량값,출처분류명
31973,Mar-23,1126,광양전어축제,광양전어축제,150,문화축제
31974,Mar-23,749,광주 남한산성문화제,광주남한산성문화제,30,문화축제
31975,Mar-23,447,광주남한산성문화제,광주남한산성문화제,30,문화축제
31976,Mar-23,620,광주세계김치축제,광주세계김치축제,220,문화축제
31977,Mar-23,750,광주왕실도자기축제,광주왕실도자기축제,720,문화축제
31978,Mar-23,619,광주프린지페스티벌,광주프린지페스티벌,230,문화축제
31979,Mar-23,83,괴산고추축제,괴산고추축제,250,문화축제
31980,Mar-23,146,구로G페스티벌,구로G페스티벌,110,문화축제
31981,Mar-23,563,구름산예술제,구름산예술제,13,문화축제
31982,Mar-23,900,군산시간여행축제,군산시간여행축제,310,문화축제
31983,Mar-23,448,군포철쭉축제,군포철쭉축제,10940,문화축제
31984,Mar-23,375,굿모닝 양림,굿모닝양림,18,문화축제
31985,Mar-23,198,금강여울축제,금강여울축제,19,문화축제
31986,Mar-23,868,금능 원담축제,금능원담축제,18,문화축제
31987,Mar-23,196,금산인삼축제,금산인삼축제,2790,문화축제
31988,Mar-23,199,금산천봄꽃축제,금산천봄꽃축제,120,문화축제
31989,Mar-23,354,금천하모니벚꽃축제 2018,금천하모니벚꽃축제,250,문화축제
31990,Mar-23,835,금호강 바람소리길 축제,금호강바람소리길축제,80,문화축제
31991,Mar-23,191,기지시줄다리기 민속축제,기지시줄다리기민속축제,50,문화축제
31992,Mar-23,973,김광석추모콘서트,김광석추모콘서트,15,문화축제
31993,Mar-23,483,김삿갓문화제,김삿갓문화제,40,문화축제
31994,Mar-23,1153,김유정문학제,김유정문학제,18,문화축제
31995,Mar-23,1143,김유정추모제,김유정추모제,180,문화축제
31996,Mar-23,367,김천국제가족연극제,김천국제가족연극제,130,문화축제
31997,Mar-23,368,김천예술제,김천예술제,15,문화축제
31998,Mar-23,237,김해독서대전,김해독서대전,180,문화축제
31999,Mar-23,236,김해분청도자기축제,김해분청도자기축제,80,문화축제
32000,Mar-23,740,낙동강유채꽃 축제,낙동강유채꽃축제,3080,문화축제
32001,Mar-23,630,남도음식문화큰잔치,남도음식문화큰잔치,130,문화축제
32002,Mar-23,1048,남양주다산문화제,남양주다산문화제,15,문화축제
32003,Mar-23,353,남일면홍도화축제,남일면홍도화축제,50,문화축제
32004,Mar-23,1091,내 집 앞 세계영화제,내집앞세계영화제,16,문화축제
32005,Mar-23,304,노원등축제,노원등축제,23,문화축제
32006,Mar-23,305,노원탈축제,노원탈축제,120,문화축제
32007,Mar-23,186,논산딸기축제,논산딸기축제,421400,문화축제
32008,Mar-23,29,단감축제,단감축제,30,문화축제
32009,Mar-23,440,단기4351년 개천절 대제전,개천절대제전,11,문화축제
32010,Mar-23,480,단종문화제,단종문화제,1260,문화축제
32011,Mar-23,466,달마고도 걷기축제,달마고도걷기축제,350,문화축제
32012,Mar-23,39,달맞이축제,달맞이축제,50,문화축제
32013,Mar-23,796,달서가족축제,달서가족축제,110,문화축제
32014,Mar-23,474,달성토성마을축제,달성토성마을축제,60,문화축제
32015,Mar-23,712,달집태우기,달집태우기,830,문화축제
32016,Mar-23,733,담양대나무축제,담양대나무축제,2770,문화축제
32017,Mar-23,734,담양산타축제,담양산타축제,40,문화축제
32018,Mar-23,1089,당항포대첩축제,당항포대첩축제,17,문화축제
32019,Mar-23,1082,대관령눈꽃축제,대관령눈꽃축제,660,문화축제
32020,Mar-23,697,대구국제뮤지컬페스티벌,대구국제뮤지컬페스티벌,740,문화축제
32021,Mar-23,696,대구국제오페라축제,대구국제오페라축제,130,문화축제
32022,Mar-23,695,대구국제재즈축제,대구국제재즈축제,26,문화축제
32023,Mar-23,957,대구스트리트 모터 페스티벌,대구스트리트모터페스티벌,80,문화축제
32024,Mar-23,700,대구약령시한방문화축제,대구약령시한방문화축제,190,문화축제
32025,Mar-23,954,대구워터페스티벌,대구워터페스티벌,44,문화축제
32026,Mar-23,702,대구치맥페스티벌,대구치맥페스티벌,4550,문화축제
32027,Mar-23,701,대구포크페스티벌,대구포크페스티벌,60,문화축제
32028,Mar-23,426,대금산진달래축제,대금산진달래축제,5780,문화축제
32029,Mar-23,15,도봉구 등축제,도봉구등축제,40,문화축제
32030,Mar-23,1032,도솔산지구전투 전승행사,도솔산지구전투전승행사,19,문화축제
32031,Mar-23,1015,독일마을 맥주축제,독일마을맥주축제,600,문화축제
32032,Mar-23,481,동강국제사진제,동강국제사진제,30,문화축제
32033,Mar-23,768,동래읍성역사축제,동래읍성역사축제,190,문화축제
32034,Mar-23,204,동백꽃 주꾸미 축제,동백꽃주꾸미축제,500,문화축제
32035,Mar-23,911,동성로축제,동성로축제,360,문화축제
32036,Mar-23,663,동춘당문화제,동춘당문화제,140,문화축제
32037,Mar-23,907,동해무릉제,동해무릉제,150,문화축제
32038,Mar-23,465,땅끝매화축제,땅끝매화축제,1290,문화축제
32039,Mar-23,469,땅끝수국축제,땅끝수국축제,20,문화축제
32040,Mar-23,178,류방택 별 축제,류방택별축제,40,문화축제
32041,Mar-23,281,마곡사 신록축제,마곡사신록축제,40,문화축제
32042,Mar-23,660,마산만날제,마산만날제,140,문화축제
32043,Mar-23,478,마토예술제,마토예술제,30,문화축제
32044,Mar-23,194,면천 진달래축제,면천진달래축제,240,문화축제
32045,Mar-23,629,명량대첩축제,명량대첩축제,160,문화축제
32046,Mar-23,893,목포 유달산 봄 축제,목포유달산봄축제,300,문화축제
